epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
14,287.84,1.48343,1.14007,1.8049,0.90537,0.87,0.963,0.79843,1.38633,0.88252,1.73398,0.000843851,0.000843851,0.000843851
15,308.213,1.49778,1.15791,1.82448,0.91203,0.86333,0.95759,0.79745,1.39944,0.88626,1.74399,0.000820525,0.000820525,0.000820525
16,328.497,1.50151,1.14143,1.81991,0.88022,0.93,0.97101,0.80724,1.40935,0.84354,1.76134,0.000795954,0.000795954,0.000795954
17,348.767,1.4428,1.13268,1.80751,0.87753,0.90763,0.95983,0.81456,1.22724,0.85954,1.67604,0.000770234,0.000770234,0.000770234
18,369.116,1.43376,1.0689,1.8075,0.90028,0.93667,0.97324,0.82092,1.30897,0.79758,1.7214,0.000743468,0.000743468,0.000743468
19,389.293,1.46004,1.08376,1.81062,0.89511,0.87667,0.95586,0.78962,1.35393,0.88889,1.73703,0.000715761,0.000715761,0.000715761
20,409.513,1.42451,1.0669,1.79386,0.90827,0.92419,0.96248,0.80567,1.32556,0.83584,1.73129,0.000687222,0.000687222,0.000687222
21,429.902,1.35584,0.99807,1.78011,0.90981,0.93667,0.9676,0.81542,1.26726,0.80002,1.70513,0.000657963,0.000657963,0.000657963
22,449.959,1.39569,0.97321,1.77323,0.91587,0.9,0.96274,0.80871,1.31061,0.81827,1.7332,0.000628101,0.000628101,0.000628101
23,470.144,1.31528,0.93963,1.77943,0.89967,0.92656,0.95262,0.81177,1.26026,0.79967,1.72113,0.000597754,0.000597754,0.000597754
24,490.387,1.3267,0.92011,1.75686,0.91517,0.93495,0.95455,0.82141,1.18066,0.77598,1.66531,0.00056704,0.00056704,0.00056704
25,510.524,1.32885,0.91224,1.7679,0.90794,0.94333,0.96134,0.82372,1.24071,0.76309,1.71078,0.000536081,0.000536081,0.000536081
26,530.568,1.24334,0.89646,1.76582,0.88827,0.95,0.95642,0.82025,1.23966,0.75111,1.68693,0.000505,0.000505,0.000505
27,550.658,1.27444,0.91575,1.7425,0.88482,0.96667,0.95688,0.81695,1.22683,0.76553,1.69969,0.000473919,0.000473919,0.000473919
28,570.804,1.22838,0.8684,1.73343,0.95379,0.93333,0.97027,0.84961,1.1188,0.70079,1.65624,0.00044296,0.00044296,0.00044296
29,591.846,1.2215,0.90987,1.75232,0.93191,0.91237,0.96245,0.83685,1.13308,0.72432,1.66016,0.000412246,0.000412246,0.000412246
30,611.92,1.16077,0.80454,1.71439,0.94338,0.88868,0.96431,0.83701,1.13996,0.72186,1.66482,0.000381899,0.000381899,0.000381899
31,631.994,1.1831,0.84857,1.72577,0.92994,0.92908,0.96832,0.83811,1.14131,0.6966,1.67866,0.000352037,0.000352037,0.000352037
32,652.71,1.18637,0.84504,1.74198,0.91601,0.98154,0.97143,0.84858,1.14726,0.66091,1.67419,0.000322778,0.000322778,0.000322778
33,673.015,1.1329,0.77488,1.70951,0.92502,0.96,0.97108,0.84709,1.13792,0.68821,1.66464,0.000294239,0.000294239,0.000294239
34,693.259,1.15886,0.82475,1.71688,0.92955,0.95,0.9673,0.83869,1.1251,0.71537,1.6688,0.000266532,0.000266532,0.000266532
35,713.424,1.13345,0.80751,1.72471,0.94324,0.94164,0.96712,0.8421,1.13429,0.70129,1.66415,0.000239766,0.000239766,0.000239766
36,733.589,1.12256,0.79126,1.72699,0.93743,0.94893,0.96882,0.84652,1.12561,0.66234,1.66121,0.000214046,0.000214046,0.000214046
37,753.77,1.10033,0.73917,1.70942,0.92627,0.9632,0.9752,0.84958,1.1206,0.63593,1.65788,0.000189475,0.000189475,0.000189475
38,773.805,1.08248,0.73349,1.7157,0.94805,0.94,0.97787,0.85879,1.09985,0.62055,1.6545,0.000166149,0.000166149,0.000166149
39,794.092,1.07375,0.74875,1.69262,0.93546,0.96627,0.97731,0.86076,1.07269,0.60745,1.64282,0.000144161,0.000144161,0.000144161
40,814.341,1.06341,0.71432,1.71263,0.95604,0.95333,0.97388,0.86072,1.06441,0.62358,1.64012,0.000123596,0.000123596,0.000123596
41,875.133,0.94103,0.63973,1.65414,0.91851,0.95333,0.9725,0.85053,1.09245,0.63307,1.64926,0.000104537,0.000104537,0.000104537
42,894.579,0.89634,0.60445,1.64029,0.92311,0.96041,0.97396,0.85496,1.07589,0.60966,1.64804,8.70577e-05,8.70577e-05,8.70577e-05
43,914.735,0.93375,0.59367,1.64369,0.9152,0.97128,0.97195,0.84953,1.08204,0.61766,1.64032,7.12282e-05,7.12282e-05,7.12282e-05
44,935.063,0.89077,0.58287,1.63114,0.9217,0.96667,0.9706,0.85244,1.07937,0.61922,1.63874,5.71106e-05,5.71106e-05,5.71106e-05
45,954.768,0.91752,0.59324,1.63885,0.92212,0.96667,0.97102,0.84998,1.08573,0.62015,1.63902,4.47606e-05,4.47606e-05,4.47606e-05
46,975.007,0.88259,0.57343,1.62521,0.94013,0.96,0.97245,0.85058,1.07994,0.61553,1.63935,3.4227e-05,3.4227e-05,3.4227e-05
47,995.203,0.88853,0.58071,1.62725,0.93357,0.95667,0.97275,0.85224,1.08088,0.62141,1.6437,2.55513e-05,2.55513e-05,2.55513e-05
48,1014.81,0.88807,0.56002,1.62816,0.94269,0.93209,0.97141,0.85202,1.07424,0.62714,1.64528,1.87678e-05,1.87678e-05,1.87678e-05
49,1034.56,0.86112,0.56477,1.62831,0.94318,0.94067,0.97154,0.85434,1.07022,0.62106,1.64228,1.39032e-05,1.39032e-05,1.39032e-05
50,1054.52,0.8695,0.57251,1.63664,0.94359,0.94789,0.9718,0.85159,1.07299,0.61777,1.64253,1.09768e-05,1.09768e-05,1.09768e-05
